Confidence_Threshold,Margin_Threshold,CNN_Fusion_Alpha,Total_Corrected,Angry_Disgust,Fear_Sad_Neutral,Fear_Surprise,Sad_Neutral,Feature_Type,Model,Dataset,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1
0.45,0.15,0.25,551,18,466,67,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6324587880195032,0.6025585858298333,0.615817084482648,0.6084824540110144,0.6274288400210519,0.6324587880195032,0.629451778625196
0.45,0.15,0.5,551,18,466,67,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6350127699094498,0.6047426858223561,0.6179175897803582,0.6106104016624919,0.6299121283864475,0.6350127699094498,0.6319631960961523
0.45,0.15,0.75,551,18,466,67,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.635941490596703,0.604976586358422,0.6188105833188307,0.6111520521532785,0.6310951257890907,0.635941490596703,0.633056232391255
0.45,0.15,1.0,551,18,466,67,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6368702112839564,0.6038803227540062,0.6233535261911358,0.6123122554050761,0.6318563251129744,0.6368702112839564,0.6337416339968114
0.45,0.2,0.0,626,22,517,87,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.633851869050383,0.6048795165529015,0.6173068581523564,0.6104258018653237,0.6288698280747712,0.633851869050383,0.6308500157285524
0.45,0.2,0.25,626,22,517,87,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6336196888785698,0.6046207183172957,0.6170393264129996,0.6101673816968392,0.6284897140542464,0.6336196888785698,0.6305526992229529
0.45,0.2,0.5,626,22,517,87,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6361736707685164,0.6068045723133645,0.6191398317107097,0.6122951288406793,0.630996881260302,0.6361736707685164,0.6330757144420791
0.45,0.2,0.75,626,22,517,87,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6364058509403296,0.6064418179738081,0.6192760743011638,0.6121907716476375,0.6315844832353269,0.6364058509403296,0.6335438984794668
0.45,0.2,1.0,626,22,517,87,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6368702112839564,0.6038803227540062,0.6233535261911358,0.6123122554050761,0.6318563251129744,0.6368702112839564,0.6337416339968114
0.45,0.3,0.0,825,33,676,116,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6319944276758764,0.6061477643391824,0.6158381086730428,0.6104496194181573,0.6267345702304683,0.6319944276758764,0.628856368709885
0.45,0.3,0.25,825,33,676,116,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6319944276758764,0.606113264509671,0.6157676212686612,0.6104069460946647,0.6266521780486243,0.6319944276758764,0.6288296333437856
0.45,0.3,0.5,825,33,676,116,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6357093104248898,0.6093724541138538,0.6188780123818295,0.6135646895381424,0.6303412434278445,0.6357093104248898,0.6325113662380254
0.45,0.3,0.75,825,33,676,116,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6371023914557696,0.6081701298693909,0.6201553406061696,0.6135441670296882,0.6322203575336033,0.6371023914557696,0.6342075684243254
